product_title,product_vendor,product_type,product_price,day,week,month,quarter,year,net_quantity,gross_sales,discounts,returns,net_sales,taxes,total_sales,total_cost
SHOWDOWN TEE BLACK,Town and Country Skateboards,,25.000,2023-06-24,2023-W25,2023-06,2023-04,2023,6,150.000,-3.750,0.000,146.250,11.700,157.950,78.000
SKATE SESSION,Town and Country Skateboards,,10.000,2025-01-26,2025-W04,2025-01,2025-01,2025,6,60.000,0.000,0.000,60.000,0.000,60.000,0.000
Record,,,5.000,2023-06-10,2023-W23,2023-06,2023-04,2023,6,30.000,0.000,0.000,30.000,2.400,32.400,0.000
Yerba,,,3.000,2023-08-19,2023-W33,2023-08,2023-07,2023,5,15.000,0.000,0.000,15.000,1.200,16.200,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-04-13,2024-W15,2024-04,2024-04,2024,5,50.000,0.000,0.000,50.000,0.000,50.000,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2025-01-29,2025-W05,2025-01,2025-01,2025,5,50.000,0.000,0.000,50.000,0.000,50.000,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2025-01-26,2025-W04,2025-01,2025-01,2025,5,17.500,0.000,0.000,17.500,1.400,18.900,11.250
SKATE SESSION,Town and Country Skateboards,,10.000,2024-03-15,2024-W11,2024-03,2024-01,2024,5,50.000,-5.000,0.000,45.000,0.000,45.000,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-03-17,2024-W11,2024-03,2024-01,2024,5,50.000,-10.000,0.000,40.000,0.000,40.000,0.000
New Balance Numeric 480 (White/Brown/Orange),Town and Country Skateboards,,99.990,2023-11-03,2023-W44,2023-11,2023-10,2023,5,499.950,0.000,0.000,499.950,0.000,499.950,0.000
Yerba,,,3.000,2023-04-09,2023-W14,2023-04,2023-04,2023,5,15.000,-0.600,0.000,14.400,1.160,15.560,0.000
YERBA BLUEPHORIA,Town and Country Skateboards,,3.500,2024-04-21,2024-W16,2024-04,2024-04,2024,5,17.500,-2.100,0.000,15.400,1.240,16.640,11.250
Yerba,,,3.000,2023-03-16,2023-W11,2023-03,2023-01,2023,5,15.000,0.000,0.000,15.000,1.200,16.200,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2025-01-04,2025-W01,2025-01,2025-01,2025,5,50.000,-10.000,0.000,40.000,0.000,40.000,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2025-01-22,2025-W04,2025-01,2025-01,2025,5,50.000,0.000,0.000,50.000,0.000,50.000,0.000
New Balance Numeric 480 (White/Brown/Orange),Town and Country Skateboards,,99.990,2023-11-05,2023-W44,2023-11,2023-10,2023,5,499.950,-99.990,0.000,399.960,0.000,399.960,0.000
Yerba,,,3.000,2023-07-12,2023-W28,2023-07,2023-07,2023,5,15.000,0.000,0.000,15.000,1.200,16.200,0.000
SKATE SESSION,Town and Country Skateboards,,10.000,2024-03-20,2024-W12,2024-03,2024-01,2024,5,50.000,0.000,0.000,50.000,0.000,50.000,0.000
Shop Slappy Van Tee (Green),Town and Country Skateboards,,24.990,2024-05-18,2024-W20,2024-05,2024-04,2024,5,124.950,-1.250,0.000,123.700,9.900,133.600,74.250
POWELL GREEN DRAGON WHEELS (Assorted Sizes),Town and Country Skateboards,,42.000,2023-11-24,2023-W47,2023-11,2023-10,2023,5,210.000,-63.000,0.000,147.000,2.360,149.360,126.000
Yerba,,,3.000,2023-07-15,2023-W28,2023-07,2023-07,2023,5,15.000,0.000,0.000,15.000,1.200,16.200,0.000
Riverside Park Board Wall Shirt,Town and Country Skateboards,,30.000,2024-07-10,2024-W28,2024-07,2024-07,2024,5,150.000,0.000,0.000,150.000,6.000,156.000,0.000
